order,batch_id,mount,bortle,telescope,session_date,filter,exposure,file_path,ra,dec
1,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-202820.fit,11.8875,42.257222
2,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-202759.fit,11.8875,42.257222
3,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-202841.fit,11.8875,42.257222
4,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-202902.fit,11.8875,42.257222
5,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-202923.fit,11.8875,42.257222
6,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203058.fit,11.116665,41.628056
7,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203119.fit,11.116665,41.628056
8,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203201.fit,11.116665,41.628056
9,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203222.fit,11.116665,41.628056
10,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203250.fit,11.116665,41.628333
11,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203311.fit,11.116665,41.628333
12,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203332.fit,11.116665,41.628333
13,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203353.fit,11.116665,41.628333
14,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203414.fit,11.116665,41.628333
15,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203442.fit,11.116665,41.628333
16,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203503.fit,11.116665,41.628333
17,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203524.fit,11.116665,41.628333
18,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203545.fit,11.116665,41.628333
19,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203606.fit,11.116665,41.628333
20,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203634.fit,11.116665,41.628333
21,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203716.fit,11.116665,41.628333
22,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203655.fit,11.116665,41.628333
23,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203737.fit,11.116665,41.628333
24,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203826.fit,11.116665,41.628333
25,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203847.fit,11.116665,41.628333
26,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203930.fit,11.116665,41.628333
27,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203908.fit,11.116665,41.628333
28,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203951.fit,11.116665,41.628333
29,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204020.fit,11.116665,41.628333
30,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204102.fit,11.116665,41.628333
31,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204123.fit,11.116665,41.628333
32,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204041.fit,11.116665,41.628333
33,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204214.fit,11.116665,41.628333
34,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204235.fit,11.116665,41.628333
35,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204256.fit,11.116665,41.628333
36,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204317.fit,11.116665,41.628333
37,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204338.fit,11.116665,41.628333
38,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204408.fit,11.116665,41.628333
39,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204429.fit,11.116665,41.628333
40,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204450.fit,11.116665,41.628333
41,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204511.fit,11.116665,41.628333
42,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204532.fit,11.116665,41.628333
43,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204642.fit,11.116665,41.628333
44,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204621.fit,11.116665,41.628333
45,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204703.fit,11.116665,41.628333
46,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204600.fit,11.116665,41.628333
47,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204724.fit,11.116665,41.628333
48,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204752.fit,11.116665,41.628333
49,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204814.fit,11.116665,41.628333
50,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204835.fit,11.116665,41.628333
51,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204856.fit,11.116665,41.628333
52,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204917.fit,11.116665,41.628333
53,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205008.fit,11.116665,41.628333
54,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205029.fit,11.116665,41.628333
55,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205050.fit,11.116665,41.628333
56,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205111.fit,11.116665,41.628333
57,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205221.fit,11.116665,41.628333
58,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205242.fit,11.116665,41.628333
59,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205303.fit,11.116665,41.628333
60,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205333.fit,11.116665,41.628333
61,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205354.fit,11.116665,41.628333
62,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205415.fit,11.116665,41.628333
63,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205436.fit,11.116665,41.628333
64,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205457.fit,11.116665,41.628333
65,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205526.fit,11.116665,41.628333
66,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205548.fit,11.116665,41.628333
67,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205609.fit,11.116665,41.628333
68,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205651.fit,11.116665,41.628333
69,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205630.fit,11.116665,41.628333
70,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205719.fit,11.116665,41.628333
71,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205740.fit,11.116665,41.628333
72,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205801.fit,11.116665,41.628333
73,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205822.fit,11.116665,41.628333
74,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205843.fit,11.116665,41.628333
75,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-205955.fit,11.116665,41.628333
76,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210016.fit,11.116665,41.628333
77,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210037.fit,11.116665,41.628333
78,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210229.fit,11.116665,41.628333
79,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210259.fit,11.116665,41.628333
80,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210402.fit,11.116665,41.628333
81,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210320.fit,11.116665,41.628333
82,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210341.fit,11.116665,41.628333
83,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210451.fit,11.116665,41.628333
84,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210423.fit,11.116665,41.628333
85,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210512.fit,11.116665,41.628333
86,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210534.fit,11.116665,41.628333
87,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210616.fit,11.116665,41.628333
88,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210555.fit,11.116665,41.628333
89,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210728.fit,11.116665,41.628333
90,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210810.fit,11.116665,41.628333
91,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210749.fit,11.116665,41.628333
92,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210859.fit,11.116665,41.628333
93,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-211044.fit,10.174995,41.585833
94,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-210942.fit,11.116665,41.628333
95,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-211105.fit,10.174995,41.585833
96,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-211126.fit,10.174995,41.585833
97,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-211147.fit,10.174995,41.585833
98,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-211208.fit,10.174995,41.585833
99,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-211238.fit,10.174995,41.586389
100,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-211259.fit,10.174995,41.586389
101,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-211341.fit,10.174995,41.586389
